# Roster overrides for 2026 projections (auto-generated + manual edits)
# Edit this file to reflect trades, cuts, signings, and retirements.
# Columns: player_name, team, position, status
#   status: ACT = active, TRADE = moved teams, CUT = released, RET = retired
# Lines starting with # are ignored. Re-run update_rosters.py to refresh.
player_name,team,position,status
Travis Homer,CHI,RB,ACT
Trayveon Williams,CLE,RB,ACT
Tre Stewart,MIN,RB,CUT
TreVeyon Henderson,NE,RB,ACT
Trevor Etienne,CAR,RB,ACT
Trey Benson,ARI,RB,RES
Trey Sermon,PIT,RB,DEV
Ty Chandler,MIN,RB,ACT
Ty Johnson,BUF,RB,INA
Tyjae Spears,TEN,RB,ACT
Tyler Allgeier,ATL,RB,ACT
Tyler Badie,DEN,RB,ACT
Tyler Goodson,IND,RB,ACT
Tyrion Davis-Price,GB,RB,CUT
Tyrone Tracy Jr.,NYG,RB,ACT
Ulysses Bentley IV,IND,RB,DEV
Velus Jones Jr.,SEA,RB,ACT
Will Shipley,PHI,RB,ACT
Woody Marks,HOU,RB,ACT
Xazavian Valladay,MIN,RB,CUT
Zach Charbonnet,SEA,RB,RES
Zamir White,LV,RB,ACT
Zavier Scott,MIN,RB,ACT
A.J. Brown,PHI,WR,ACT
A.J. Henning,MIA,WR,DEV
A.T. Perry,DEN,WR,DEV
Adam Thielen,PIT,WR,ACT
Adonai Mitchell,NYJ,WR,ACT
Ainias Smith,CAR,WR,DEV
Ajou Ajou,IND,WR,CUT
Alec Pierce,IND,WR,ACT
Alex Bachman,LV,WR,ACT
Allen Lazard,NYJ,WR,CUT
Amari Cooper,LV,WR,RET
Amon-Ra St. Brown,DET,WR,ACT
Andre Baccellia,ARI,WR,RES
Andrei Iosivas,CIN,WR,ACT
Andrew Armstrong,DET,WR,DEV
Anthony Gould,IND,WR,RES
Anthony Miller,BAL,WR,CUT
Antwane Wells Jr.,NYG,WR,CUT
Arian Smith,NYJ,WR,ACT
Ashton Dulin,IND,WR,ACT
Austin Trammell,JAX,WR,DEV
Beaux Collins,NYG,WR,RES
Ben Skowronek,PIT,WR,ACT
Blayne Taylor,IND,WR,CUT
Brandin Cooks,BUF,WR,ACT
Brandon Aiyuk,SF,WR,RES
Brandon Johnson,DEN,WR,DEV
Brandon Smith,NE,WR,CUT
Braxton Berrios,HOU,WR,ACT
Braylon Sanders,WAS,WR,CUT
Brenden Rice,LV,WR,DEV
Brennan Presley,LA,WR,DEV
Brian Thomas Jr.,JAX,WR,ACT
Britain Covey,PHI,WR,ACT
Bryce Ford-Wheaton,NYG,WR,RES
Bryce Oliver,TEN,WR,ACT
Brycen Tremayne,CAR,WR,ACT
Bryson Green,ARI,WR,DEV
Bub Means,NO,WR,RES
Cade McDonald,CLE,WR,CUT
Calvin Austin III,PIT,WR,ACT
Calvin Ridley,TEN,WR,RES
Cam Camper,JAX,WR,CUT
Casey Washington,ATL,WR,INA
Cedric Tillman,CLE,WR,ACT
Cedrick Wilson Jr.,MIA,WR,ACT
CeeDee Lamb,DAL,WR,ACT
Chandler Brayboy,JAX,WR,DEV
Charlie Jones,CIN,WR,INA
Chase Cota,CLE,WR,CUT
Chimere Dike,TEN,WR,ACT
Chris Blair,ATL,WR,DEV
Chris Godwin Jr.,TB,WR,ACT
Chris Moore,WAS,WR,ACT
Chris Olave,NO,WR,INA
Christian Kirk,HOU,WR,ACT
Christian Watson,GB,WR,ACT
Cody White,SEA,WR,RES
Cole Burgess,CIN,WR,CUT
Coleman Owen,IND,WR,DEV
Collin Johnson,LV,WR,CUT
Colton Dowell,SF,WR,RES
Cooper Kupp,SEA,WR,ACT
Cornelius Johnson,BAL,WR,DEV
Cornell Powell,PIT,WR,CUT
Courtland Sutton,DEN,WR,ACT
Courtney Jackson,SEA,WR,DEV
Curtis Samuel,BUF,WR,ACT
D.J. Montgomery,IND,WR,RES
DJ Moore,CHI,WR,ACT
DJ Turner,LV,WR,DEV
DK Metcalf,PIT,WR,ACT
Da'Quan Felton,NYG,WR,RES
Dalen Cambre,NYG,WR,ACT
Dalevon Campbell,LAC,WR,INA
Dan Chisena,CAR,WR,DEV
Daniel Jackson,HOU,WR,CUT
Danny Gray,PHI,WR,DEV
Dante Pettis,NO,WR,ACT
Dareke Young,SEA,WR,ACT
Darius Cooper,PHI,WR,ACT
Darius Lassiter,JAX,WR,CUT
Darius Slayton,NYG,WR,ACT
Darnell Mooney,ATL,WR,ACT
Davante Adams,LA,WR,ACT
David Bell,CLE,WR,RET
David Moore,CAR,WR,INA
David Sills,ATL,WR,ACT
David White,BUF,WR,RET
Dayton Wade,BAL,WR,RES
DeAndre Carter,CLE,WR,RES
DeAndre Hopkins,BAL,WR,ACT
DeMario Douglas,NE,WR,ACT
DeVonta Smith,PHI,WR,ACT
Dee Eskridge,MIA,WR,RES
Deebo Samuel Sr.,WAS,WR,ACT
Demarcus Robinson,SF,WR,ACT
Dennis Houston,TB,WR,DEV
Deon Cain,BUF,WR,CUT
Derius Davis,LAC,WR,ACT
Devaughn Vele,NO,WR,RES
Deven Thompkins,ATL,WR,ACT
Devin Duvernay,CHI,WR,ACT
Devontez Walker,BAL,WR,ACT
Diontae Johnson,CLE,WR,CUT
Dominic Lovett,DET,WR,INA
Dont'e Thornton Jr.,LV,WR,ACT
Dontae Fleming,MIN,WR,DEV
Dontayvion Wicks,GB,WR,INA
