player_display_name,position_group,current_team,projected_ppg,projected_games,projected_total,pos_rank
Jalen Brooks,WR,ARI,1.6,4.3,7,176
Brycen Tremayne,WR,CAR,1.2,5.7,7,177
Shedrick Jackson,WR,LV,1.4,5.2,7,178
Devontez Walker,WR,BAL,1.4,5.0,7,180
Derius Davis,WR,LAC,0.9,6.7,6,182
Ryan Miller,WR,,1.3,4.8,6,183
Mason Tipton,WR,NO,1.0,5.5,6,186
James Proche,WR,TEN,1.1,4.7,5,190
Dylan Drummond,WR,ATL,1.7,3.1,5,196
Xavier Weaver,WR,ARI,1.2,4.1,5,198
Darius Cooper,WR,PHI,1.5,3.5,5,199
Dalen Cambre,WR,NYG,1.5,3.2,5,201
Braxton Berrios,WR,HOU,0.9,4.4,4,203
Dareke Young,WR,SEA,0.7,6.5,4,205
Britain Covey,WR,PHI,0.9,4.0,4,206
Charlie Jones,WR,,0.7,5.5,4,207
Ronnie Bell,WR,NO,1.1,3.5,4,208
Bryce Oliver,WR,TEN,0.8,4.4,4,210
River Cracraft,WR,WAS,0.8,4.1,3,212
Mecole Hardman,WR,BUF,0.8,3.8,3,213
Tom Kennedy,WR,DET,0.6,5.4,3,214
Alex Bachman,WR,LV,0.5,6.2,3,215
Mason Kinsey,WR,TEN,0.8,4.0,3,216
Simi Fehoko,WR,ARI,0.9,3.1,3,217
Xavier Gipson,WR,NYG,0.4,6.1,3,220
Jake Bobo,WR,SEA,0.8,3.4,3,221
Anthony Gould,WR,IND,0.6,4.7,3,222
Jacoby Jones,WR,,1.4,2.2,3,223
Beaux Collins,WR,NYG,1.4,2.2,3,224
Jalen Royals,WR,KC,1.6,2.0,3,226
Laquon Treadwell,WR,IND,0.5,3.7,2,227
KhaDarel Hodge,WR,ATL,0.6,3.4,2,228
Dante Pettis,WR,NO,1.1,2.3,2,229
Steven Sims,WR,ARI,0.6,3.5,2,231
Andre Baccellia,WR,ARI,0.4,4.3,2,232
Tim Jones,WR,JAX,0.6,4.2,2,233
Dee Eskridge,WR,MIA,0.6,3.9,2,234
Deven Thompkins,WR,ATL,0.6,3.8,2,235
Jonathan Mingo,WR,DAL,0.7,2.8,2,236
