name,position,team,pos_rank,model_total,model_ppg,model_games,model_floor,model_ceiling,sleeper_total,sleeper_ppr_native,sleeper_games,slp_pass_yd,slp_pass_td,slp_pass_int,slp_rush_yd,slp_rush_td,slp_rec,slp_rec_yd,slp_rec_td,slp_fum_lost,diff,diff_pct,abs_diff,sleeper_ppg,ppg_diff,games_diff,pts_from_games_diff,pts_from_ppg_diff
Trevor Etienne,RB,CAR,80,53.0,3.8,13.8,12.0,90.0,31.1,31.1,18.0,0.0,0.0,0.0,164.0,1.0,5.0,37.0,0.0,0.0,21.9,70.41800643086816,21.9,1.7277777777777779,2.072222222222222,-4.199999999999999,-7.256666666666666,28.596666666666664
Jordan Whittington,WR,LAR,135,45.0,3.9,11.5,11.0,81.0,23.3,23.3,18.0,0.0,0.0,0.0,6.0,0.0,8.0,87.0,1.0,0.0,21.7,93.13304721030042,21.7,1.2944444444444445,2.605555555555555,-6.5,-8.41388888888889,29.963888888888885
Dallas Goedert,TE,PHI,11,133.0,10.3,12.9,84.0,173.0,154.60000000000002,154.6,18.0,0.0,0.0,0.0,0.0,0.0,59.0,656.0,5.0,0.0,-21.600000000000023,-13.971539456662367,21.600000000000023,8.58888888888889,1.7111111111111104,-5.1,-43.803333333333335,22.073333333333323
Joe Milton III,QB,DAL,62,34.0,4.5,7.5,12.0,56.0,12.4,12.4,18.0,195.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,21.6,174.19354838709677,21.6,0.6888888888888889,3.811111111111111,-10.5,-7.233333333333333,28.583333333333332
Kayshon Boutte,WR,NE,74,92.0,7.7,12.0,37.0,140.0,113.6,113.6,18.0,0.0,0.0,0.0,0.0,0.0,36.0,536.0,4.0,0.0,-21.599999999999994,-19.01408450704225,21.599999999999994,6.311111111111111,1.3888888888888893,-6.0,-37.86666666666667,16.66666666666667
Eric McAlister,WR,,227,21.0,2.7,7.8,-4.0,68.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,21.0,0.0,2.7,-10.2,0.0,21.060000000000002
Dalen Cambre,WR,NYG,226,21.0,2.5,8.3,1.0,51.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,21.0,0.0,2.5,-9.7,0.0,20.75
Jordan Mason,RB,MIN,47,91.0,6.8,13.5,30.0,152.0,112.0,112.0,18.0,0.0,0.0,0.0,600.0,5.0,14.0,100.0,0.0,1.0,-21.0,-18.75,21.0,6.222222222222222,0.5777777777777775,-4.5,-28.0,7.799999999999996
Cedrick Wilson Jr.,WR,MIA,219,21.0,2.5,8.6,6.0,44.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,21.0,0.0,2.5,-9.4,0.0,21.5
Hassan Haskins,RB,LAC,142,21.0,2.2,9.6,2.0,47.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,21.0,0.0,2.2,-8.4,0.0,21.12
