player_display_name,position_group,team,projected_ppg,projected_games,projected_total,pos_rank,total_floor,total_ceiling
Dean Kremer,SP,BAL,10.9,28.4,309,49,145,422
Ryne Nelson,SP,ARI,10.0,30.9,309,50,139,476
Bailey Ober,SP,MIN,10.4,29.7,309,51,134,456
Masyn Winn,SS,STL,2.4,127.6,308,17,201,364
Adrian Houser,SP,TB,10.8,28.5,308,52,132,446
Robbie Ray,SP,SF,10.6,29.0,308,53,247,457
Bryson Stott,2B,PHI,2.4,128.2,306,9,230,368
Logan Allen,SP,CLE,8.3,36.8,306,54,124,511
Charlie Morton,SP,ATL,9.4,32.5,306,55,94,517
David Peterson,SP,NYM,10.9,28.1,306,56,152,444
Andrew Abbott,SP,CIN,11.2,27.1,305,57,170,463
Yainer Diaz,C,HOU,2.5,121.6,304,6,224,357
Ian Happ,OF,CHC,2.5,121.4,304,28,237,407
Sandy Alcantara,SP,MIA,9.8,30.9,304,58,154,450
Shota Imanaga,SP,CHC,11.1,27.3,304,59,175,436
Hunter Goodman,C,COL,2.6,115.5,303,7,189,389
Steven Kwan,OF,CLE,2.6,114.8,303,29,217,384
Isaac Paredes,3B,HOU,2.6,115.6,303,9,214,350
Quinn Priester,SP,MIL,10.6,28.4,302,60,145,434
Grant Holmes,SP,ATL,9.7,30.8,301,61,105,487
Jameson Taillon,SP,CHC,10.6,28.3,301,62,162,431
Gavin Williams,SP,CLE,10.1,29.9,301,63,213,463
Luis Garcia,2B,WSN,2.5,122.3,300,10,203,357
Chris Paddack,SP,DET,9.8,30.8,300,64,103,446
Randy Arozarena,OF,SEA,2.5,122.0,299,30,196,408
Cedric Mullins,OF,NYM,2.6,114.3,299,31,199,336
Casey Mize,SP,DET,10.2,29.2,299,65,193,474
Lars Nootbaar,OF,STL,2.4,121.7,298,32,199,362
Gleyber Torres,2B,DET,2.5,118.1,298,11,244,367
Lucas Giolito,SP,BOS,10.2,29.1,298,66,174,439
Pete Crow-Armstrong,OF,CHC,2.3,126.5,297,33,242,425
Chris Bassitt,SP,TOR,10.6,27.9,297,67,152,444
Drew Rasmussen,SP,TB,11.1,26.9,297,68,154,415
Bo Bichette,SS,TOR,2.5,119.7,295,18,244,404
Brayan Bello,SP,BOS,10.3,28.7,295,69,158,402
Emmanuel Clase,RP,CLE,4.9,60.0,295,3,103,392
Matthew Liberatore,SP,STL,9.5,31.0,295,70,112,405
Jordan Westburg,3B,BAL,2.6,111.9,294,10,186,352
Brandon Lowe,2B,TB,2.6,112.6,293,12,201,381
Dansby Swanson,SS,CHC,2.4,123.5,293,19,207,363
Kodai Senga,SP,NYM,10.1,29.0,293,71,121,489
Wyatt Langford,OF,TEX,2.7,109.4,292,34,201,361
Zach Neto,SS,LAA,2.4,121.4,292,20,212,423
