player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Jaxon Smith-Njigba,WR,SEA,20.0,17.9,12.6,26.1,13.9,277,175,362,1
Puka Nacua,WR,LA,18.4,18.6,14.2,22.9,13.7,252,194,313,2
Amon-Ra St. Brown,WR,DET,17.6,17.1,13.4,22.0,14.1,248,189,311,3
Ja'Marr Chase,WR,CIN,18.6,18.2,13.7,21.7,12.5,231,171,270,4
Tetairoa McMillan,WR,CAR,15.1,14.7,10.4,18.3,14.9,225,154,272,5
A.J. Brown,WR,PHI,13.9,14.0,11.7,16.5,14.7,205,172,243,7
CeeDee Lamb,WR,DAL,15.6,14.8,11.3,19.0,13.0,202,147,247,8
Zay Flowers,WR,BAL,13.5,12.3,7.7,16.7,14.9,202,115,249,9
Drake London,WR,ATL,14.8,15.0,11.5,18.1,13.6,201,156,245,10
Emeka Egbuka,WR,TB,13.9,13.2,9.4,17.4,14.1,195,133,244,12
