player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Jahmyr Gibbs,RB,DET,19.4,18.7,14.3,22.8,14.3,277,205,327,1
Bijan Robinson,RB,ATL,18.6,18.7,13.5,21.6,13.4,249,182,290,2
James Cook,RB,BUF,17.0,16.4,11.7,21.6,14.1,240,165,305,3
Ashton Jeanty,RB,LV,15.9,14.8,10.8,20.4,15.0,240,163,307,4
Derrick Henry,RB,BAL,16.4,15.8,11.2,20.3,13.9,227,155,282,5
Jonathan Taylor,RB,IND,17.3,17.2,14.1,20.6,13.0,226,183,269,6
Josh Jacobs,RB,GB,15.3,14.8,11.3,18.8,14.6,224,164,275,7
Kyren Williams,RB,LA,14.7,14.6,9.9,19.3,14.2,209,141,274,8
Christian McCaffrey,RB,SF,18.6,19.0,11.7,24.4,10.7,199,125,261,9
Chase Brown,RB,CIN,14.9,14.6,10.4,19.5,13.3,198,138,259,10
TreVeyon Henderson,RB,NE,13.7,12.5,7.3,17.3,14.2,195,103,246,12
RJ Harvey,RB,DEN,13.1,12.8,8.8,16.4,14.5,190,127,238,13
Travis Etienne,RB,JAX,13.2,13.9,9.4,16.0,13.6,179,128,218,14
Quinshon Judkins,RB,CLE,12.8,11.9,6.9,17.2,13.3,170,92,229,15
Javonte Williams,RB,DAL,12.2,13.1,8.5,15.9,13.4,164,114,213,16
Kenneth Walker III,RB,SEA,12.2,11.0,6.8,14.3,13.3,162,90,191,17
Bucky Irving,RB,TB,11.9,10.5,6.1,16.4,13.5,160,82,221,18
Omarion Hampton,RB,LAC,12.4,12.8,8.1,17.1,12.9,160,104,220,19
D'Andre Swift,RB,CHI,11.6,12.0,9.1,15.2,13.4,155,122,203,20
Kenneth Gainwell,RB,PIT,11.2,9.6,7.4,14.0,13.4,151,99,187,21
Saquon Barkley,RB,PHI,12.2,13.8,9.7,18.8,12.0,147,117,226,23
Jaylen Warren,RB,PIT,10.2,10.0,7.2,15.4,14.1,144,102,217,24
Zach Charbonnet,RB,SEA,10.1,10.1,5.8,14.3,14.2,144,83,203,25
David Montgomery,RB,DET,10.3,9.8,6.2,13.7,13.7,142,86,188,26
Rachaad White,RB,TB,9.5,8.6,4.2,13.4,13.8,132,58,186,27
Tony Pollard,RB,TEN,9.9,8.9,5.4,14.5,13.2,131,71,191,28
J.K. Dobbins,RB,DEN,12.0,10.8,5.4,15.0,10.5,127,56,158,29
Blake Corum,RB,LA,8.9,7.5,2.2,13.1,14.2,127,31,187,30
Rico Dowdle,RB,CAR,10.2,11.1,7.0,14.4,12.3,126,86,178,31
Cam Skattebo,RB,NYG,11.5,10.8,7.3,17.5,10.8,124,78,189,32
Kyle Monangai,RB,CHI,8.6,7.5,3.9,11.7,13.7,118,53,161,33
Woody Marks,RB,HOU,8.5,8.3,3.9,13.5,13.3,113,52,180,35
Jacory Croskey-Merritt,RB,WAS,8.3,7.7,4.3,11.1,13.5,112,58,150,36
Kareem Hunt,RB,KC,8.2,7.7,4.2,12.8,13.4,110,56,172,37
Tyrone Tracy Jr.,RB,NYG,8.1,7.8,3.9,13.0,13.2,107,51,171,38
Devin Singletary,RB,NYG,7.2,6.1,3.7,10.6,14.5,104,53,154,39
Tyjae Spears,RB,TEN,8.1,7.7,3.0,12.9,12.2,98,36,157,40
Najee Harris,RB,LAC,8.7,8.3,4.0,12.2,11.0,96,45,135,41
Tyler Allgeier,RB,ATL,6.5,6.4,2.8,11.3,14.8,96,41,168,42
Dylan Sampson,RB,CLE,7.6,6.1,2.7,10.4,12.6,96,34,132,43
Trey Benson,RB,ARI,7.8,5.8,2.5,12.2,11.9,93,29,146,44
Rhamondre Stevenson,RB,NE,7.4,8.4,4.6,12.4,12.5,92,57,154,45
Brian Robinson,RB,SF,7.1,6.8,2.9,11.9,13.0,92,38,156,46
Jordan Mason,RB,MIN,6.8,6.9,2.2,11.3,13.5,91,30,152,47
Kimani Vidal,RB,LAC,7.3,6.3,2.9,13.1,12.4,90,36,163,48
Nick Chubb,RB,HOU,6.9,7.4,2.3,11.2,12.9,89,29,144,49
James Conner,RB,ARI,9.0,9.5,4.5,14.2,9.7,87,44,138,50
Aaron Jones,RB,,7.1,7.3,4.5,12.3,12.1,86,55,149,51
Jerome Ford,RB,CLE,7.4,5.3,2.1,10.0,11.1,82,23,112,52
Austin Ekeler,RB,WAS,7.0,5.8,2.3,11.0,11.6,81,27,127,53
Chuba Hubbard,RB,CAR,6.6,7.5,3.8,12.3,12.2,80,46,151,54
Michael Carter,RB,ARI,6.1,5.0,2.6,11.5,12.6,76,33,145,55
Audric Estimé,RB,NO,6.9,5.2,2.0,11.4,10.7,74,21,122,56
Devin Neal,RB,NO,6.4,5.3,2.2,10.5,11.5,74,25,121,57
Emanuel Wilson,RB,GB,5.5,6.1,2.0,9.5,13.2,73,27,125,58
Miles Sanders,RB,DAL,6.5,5.8,2.4,11.3,10.7,70,25,121,60
