player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Brock Bowers,TE,LV,15.6,14.6,11.5,18.4,13.9,217,159,256,1
Trey McBride,TE,ARI,15.7,16.1,12.5,20.1,13.0,204,163,261,2
Tyler Warren,TE,IND,13.4,13.1,9.5,16.7,13.7,183,130,228,4
Colston Loveland,TE,CHI,12.0,11.9,6.8,15.2,14.2,170,96,215,5
Travis Kelce,TE,KC,11.1,10.0,7.6,13.6,14.0,155,107,191,6
Kyle Pitts,TE,ATL,10.9,11.5,8.2,15.1,13.5,147,111,203,7
George Kittle,TE,SF,12.6,13.0,9.7,17.4,11.6,146,112,202,8
Jake Ferguson,TE,DAL,10.0,9.8,6.9,14.5,13.4,134,93,195,9
Dallas Goedert,TE,PHI,9.7,11.0,6.1,13.0,13.7,133,84,177,10
Tucker Kraft,TE,GB,10.6,10.8,6.9,15.2,12.5,133,87,191,11
Hunter Henry,TE,NE,9.7,10.2,6.6,12.6,13.4,129,89,169,12
Dalton Kincaid,TE,BUF,10.2,10.4,5.5,13.0,12.4,127,69,161,13
Juwan Johnson,TE,NO,9.1,8.5,4.8,11.8,13.2,120,63,155,14
AJ Barner,TE,SEA,8.5,8.7,4.1,11.5,13.9,117,57,160,15
Oronde Gadsden II,TE,LAC,8.8,7.6,3.8,12.8,13.0,115,49,166,16
Dalton Schultz,TE,HOU,8.7,8.8,4.7,11.4,12.9,112,61,146,17
Mark Andrews,TE,BAL,7.8,7.2,4.1,11.6,14.3,112,59,166,18
Sam LaPorta,TE,DET,8.8,9.4,5.6,13.6,12.4,109,70,168,21
Zach Ertz,TE,WAS,9.0,9.6,4.7,12.4,11.8,107,56,147,22
Mason Taylor,TE,NYJ,8.5,8.9,3.7,11.3,12.4,106,46,140,23
Cade Otton,TE,TB,7.8,7.4,3.1,9.7,13.2,103,40,127,24
Chig Okonkwo,TE,TEN,7.2,6.6,3.0,9.9,13.6,98,41,135,25
Cole Kmet,TE,CHI,6.4,6.1,3.5,8.8,14.2,91,49,125,26
Brenton Strange,TE,JAX,7.6,7.1,3.7,11.2,11.7,90,43,132,27
