player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Josh Cuevas,TE,BAL,1.0,5.0,173.0,0.6,0.0,-0.3,6.3,6.0,4,-2,38,108
Taylen Green,QB,CLE,1.0,6.0,182.0,0.6,-0.5,-2.2,9.9,6.9,4,-15,68,63
Eli Heidenreich,RB,PIT,1.0,7.0,230.0,0.7,0.0,-2.8,8.0,6.1,4,-17,49,126
Roman Hemby,RB,LV,1.0,,,1.2,0.0,-2.8,8.9,3.6,4,-10,32,127
Mo Alie-Cox,TE,IND,0.0,,,0.4,0.0,-0.3,3.9,8.2,3,-3,32,110
Justin Watson,WR,HOU,0.0,5.0,144.0,0.3,0.0,-2.8,5.6,7.9,3,-22,44,189
Jake Browning,QB,TB,0.0,,,0.9,0.9,-2.2,13.6,3.2,3,-7,44,64
Chris Oladokun,QB,KC,0.0,7.0,241.0,0.6,-0.1,-2.2,10.1,4.7,3,-10,48,65
Lew Nichols III,RB,PIT,0.0,7.0,235.0,0.4,0.0,-2.8,6.1,6.1,3,-17,37,128
Dylan Drummond,WR,ATL,0.0,,,0.5,0.0,-2.8,5.0,6.0,3,-17,30,190
Payne Durham,TE,TB,0.0,5.0,171.0,0.4,0.0,-0.3,3.4,6.5,3,-2,22,111
Joe Milton III,QB,DAL,0.0,6.0,193.0,0.7,-1.8,-2.2,10.4,4.3,3,-9,44,66
Will Shipley,RB,PHI,0.0,4.0,127.0,0.3,0.0,-2.8,3.8,11.4,3,-32,44,129
Jalen Milroe,QB,SEA,0.0,3.0,92.0,0.6,-0.2,-2.2,11.5,5.8,3,-13,67,67
Kaytron Allen,RB,WAS,1.0,6.0,187.0,0.5,0.0,-2.8,9.2,5.8,3,-16,53,130
Jack Endries,TE,CIN,1.0,7.0,221.0,0.8,0.0,-0.3,5.7,4.1,3,-1,23,112
Nick Mullens,QB,JAX,0.0,,,0.7,-1.1,-2.2,4.0,2.7,2,-6,11,68
Tyler Huntley,QB,BAL,0.0,,,0.6,2.0,-2.2,11.4,2.9,2,-6,34,69
Xavier Smith,WR,LAR,0.0,,,0.3,0.0,-2.8,6.0,9.3,2,-26,56,191
Justin Shorter,TE,LV,0.0,5.0,150.0,0.4,0.0,-0.3,4.3,6.3,2,-2,27,114
Princeton Fant,TE,DAL,0.0,,,0.4,0.0,-0.3,4.7,4.1,2,-1,19,115
Jacardia Wright,RB,SEA,0.0,,,0.4,0.0,-2.8,5.7,5.2,2,-14,29,133
Dallen Bentley,TE,DEN,1.0,7.0,256.0,0.4,0.0,-0.3,4.5,5.0,2,-2,23,116
Jalon Daniels,QB,TB,1.0,,,0.4,-0.4,-2.2,9.7,4.9,2,-11,47,70
J'Mari Taylor,RB,JAX,1.0,,,0.5,0.0,-2.8,8.3,4.6,2,-13,38,135
Tyrod Taylor,QB,GB,0.0,6.0,180.0,0.2,0.7,-2.2,13.8,3.7,1,-8,51,71
Greg Dortch,WR,DET,0.0,,,0.2,1.2,-2.8,7.7,7.4,1,-21,57,192
Elijah Mitchell,RB,PHI,0.0,6.0,194.0,0.1,0.0,-2.8,8.5,6.7,1,-19,57,137
George Holani,RB,SEA,0.0,,,0.1,0.0,-2.8,3.6,9.0,1,-25,33,139
Terrell Jennings,RB,NE,0.0,,,0.1,0.0,-2.8,4.8,7.3,1,-21,36,140
Darius Cooper,WR,PHI,0.0,,,0.1,0.0,-2.8,4.8,6.8,1,-19,32,193
KeAndre Lambert-Smith,WR,LAC,0.0,5.0,158.0,0.1,0.0,-2.8,6.7,10.1,1,-28,68,194
Lake McRee,TE,PIT,1.0,,,0.3,0.0,-0.3,6.4,3.5,1,-1,22,117
Michael Trigg,TE,DAL,1.0,,,0.3,0.0,-0.3,5.8,3.6,1,-1,21,118
Kalif Raymond,WR,CHI,0.0,,,0.1,1.2,-2.8,6.1,8.2,0,-23,50,197
Johnny Mundt,TE,PHI,0.0,,,0.0,-0.1,-0.3,3.8,6.0,0,-2,23,119
Anthony Firkser,TE,WAS,0.0,,,0.0,-0.3,-0.3,2.0,4.9,0,-2,10,120
Eric Saubert,TE,SEA,0.0,5.0,174.0,0.0,-0.3,-0.3,1.5,6.7,0,-2,10,121
David Moore,WR,CAR,0.0,7.0,226.0,0.0,0.0,-2.8,4.4,6.2,0,-17,27,199
Cedrick Wilson Jr.,WR,DET,0.0,6.0,208.0,0.0,0.0,-2.8,6.6,4.8,0,-13,32,200
Braxton Berrios,WR,NYG,0.0,6.0,210.0,0.0,-2.8,-2.8,2.1,6.3,0,-17,13,201
Gunner Olszewski,WR,NYG,0.0,,,0.0,0.0,-2.8,5.2,11.9,0,-33,62,205
Cody White,WR,SEA,0.0,,,0.0,0.0,-2.8,5.1,6.3,0,-17,32,206
Harrison Bryant,TE,SEA,0.0,4.0,115.0,0.0,0.0,-0.3,3.9,7.1,0,-2,28,122
Devin Duvernay,WR,ARI,0.0,3.0,92.0,0.0,-0.7,-2.8,4.2,9.4,0,-26,39,208
DeeJay Dallas,RB,JAX,0.0,4.0,144.0,0.0,-2.8,-2.8,2.7,7.7,0,-22,21,146
Charlie Woerner,TE,ATL,0.0,6.0,190.0,0.0,0.0,-0.3,2.6,7.3,0,-3,19,124
Chris Blair,WR,ATL,0.0,,,0.0,-0.2,-2.8,3.1,5.3,0,-15,16,209
Tim Jones,WR,JAX,0.0,,,0.0,-0.2,-2.8,2.5,5.4,0,-15,13,210
Gary Brightwell,RB,CIN,0.0,6.0,196.0,0.0,-2.8,-2.8,2.7,5.3,0,-15,15,147
Quintin Morris,TE,JAX,0.0,,,0.0,-0.1,-0.3,1.1,7.6,0,-3,9,125
Tylan Wallace,WR,CLE,0.0,4.0,131.0,0.0,0.0,-2.8,4.3,7.4,0,-21,32,212
Simi Fehoko,WR,ARI,0.0,5.0,179.0,0.0,-0.2,-2.8,4.8,8.3,0,-23,39,213
Jack Stoll,TE,CLE,0.0,,,0.0,-0.3,-0.3,2.5,6.0,0,-2,15,126
Kene Nwangwu,RB,NYJ,0.0,4.0,119.0,0.0,-0.2,-2.8,3.8,6.8,0,-19,26,148
Ben Skowronek,WR,PIT,0.0,7.0,249.0,0.0,-0.0,-2.8,2.4,11.1,0,-31,27,214
Michael Bandy,WR,DEN,0.0,,,0.0,0.2,-2.8,5.8,6.4,0,-18,37,215
Nikola Kalinic,TE,CHI,0.0,,,0.0,-0.0,-0.3,3.9,4.4,0,-2,18,127
Dareke Young,WR,LV,0.0,7.0,233.0,0.0,-2.8,-2.8,1.6,5.0,0,-14,8,217
Tyler Goodson,RB,ATL,0.0,,,0.0,-2.8,-2.8,4.5,6.1,0,-17,27,151
Dameon Pierce,RB,PHI,0.0,4.0,107.0,0.0,0.0,-2.8,5.7,4.0,0,-11,23,152
Ty Chandler,RB,NO,0.0,5.0,169.0,0.0,-0.2,-2.8,5.2,5.5,0,-15,29,153
Teagan Quitoriano,TE,ARI,0.0,5.0,170.0,0.0,-0.3,-0.3,4.6,4.3,0,-2,20,128
Andrew Ogletree,TE,IND,0.0,6.0,192.0,0.0,0.0,-0.3,2.7,9.5,0,-3,25,129
Ko Kieft,TE,TB,0.0,6.0,218.0,-0.1,-0.3,-0.3,1.3,3.8,0,-1,5,131
Zaire Mitchell-Paden,TE,NO,0.0,,,0.0,0.0,-0.3,2.8,7.0,0,-2,20,132
Ronnie Rivers,RB,LAR,0.0,,,0.0,-2.8,-2.8,5.0,5.2,0,-15,26,154
Julius Chestnut,RB,TEN,0.0,,,0.0,-2.8,-2.8,2.3,8.2,0,-23,19,155
Velus Jones Jr.,WR,SEA,0.0,3.0,71.0,0.0,-2.8,-2.8,5.0,6.0,0,-17,30,220
Skyy Moore,WR,GB,0.0,2.0,54.0,0.0,-0.3,-2.8,3.8,8.5,0,-24,32,221
Eric Gray,RB,NYG,0.0,5.0,172.0,0.0,-0.4,-2.8,5.3,7.0,0,-20,37,157
Tanner McKee,QB,PHI,0.0,6.0,188.0,-0.1,0.0,-2.2,10.7,5.2,0,-12,56,73
Tyson Bagent,QB,CHI,0.0,,,0.0,-2.0,-2.2,9.5,3.6,0,-8,34,74
Jason Brownlee,WR,KC,0.0,,,0.0,-1.6,-2.8,4.3,6.4,0,-18,27,222
Xavier Gipson,WR,NYG,0.0,,,0.0,-2.5,-2.8,1.6,5.6,0,-16,9,223
E.J. Jenkins,TE,PHI,0.0,,,0.0,0.0,-0.3,4.9,4.2,0,-1,21,135
Nikko Remigio,WR,KC,0.0,,,0.0,-2.1,-2.8,1.7,10.0,0,-28,17,224
Derius Davis,WR,LAC,0.0,4.0,125.0,0.0,0.0,-2.8,2.6,11.3,0,-32,29,225
Charlie Jones,WR,CIN,0.0,4.0,131.0,0.0,-0.2,-2.8,2.8,10.0,0,-28,27,226
Ronnie Bell,WR,NO,0.0,7.0,253.0,0.0,0.0,-2.8,4.0,6.6,0,-18,26,227
Blake Whiteheart,TE,CLE,0.0,,,0.0,0.0,-0.3,2.3,7.7,0,-3,18,136
Julian Hill,TE,NE,0.0,,,0.0,0.0,-0.3,3.8,7.2,0,-3,27,137
Jake Bobo,WR,SEA,0.0,,,0.0,0.0,-2.8,3.4,6.4,0,-18,22,229
Ben Sims,TE,MIA,0.0,,,0.0,0.0,-0.3,4.6,4.1,0,-1,19,138
Ryan Miller,WR,NYG,0.0,,,0.1,0.0,-2.8,5.5,6.2,0,-17,34,230
Brycen Tremayne,WR,CAR,0.0,,,0.0,0.0,-2.8,3.7,8.7,0,-24,32,231
Jacob Saylors,RB,DET,0.0,,,0.0,0.0,-2.8,5.5,9.7,0,-27,54,159
Malik Cunningham,WR,DET,0.0,,,0.0,0.0,-2.8,5.9,5.3,0,-15,31,232
Jalin Hyatt,WR,NYG,0.0,3.0,73.0,0.0,0.0,-2.8,5.3,7.8,0,-22,41,233
Jack Westover,TE,NE,0.0,,,0.0,-0.3,-0.3,3.6,6.3,0,-2,23,139
Sione Vaki,RB,DET,0.0,4.0,132.0,0.0,-2.8,-2.8,5.3,8.1,0,-23,43,160
Jamari Thrash,WR,CLE,0.0,5.0,156.0,0.0,0.0,-2.8,4.3,8.4,0,-23,36,234
Dylan Laube,RB,LV,0.0,6.0,208.0,0.0,-2.8,-2.8,3.5,9.0,0,-25,31,161
Brenden Bates,TE,CLE,0.0,,,0.0,0.0,-0.3,3.5,5.5,0,-2,19,140
Hayden Rucci,TE,SF,0.0,,,0.0,-0.2,-0.3,3.4,3.0,0,-1,10,141
Xavier Weaver,WR,ARI,0.0,,,0.0,-0.1,-2.8,2.7,6.9,0,-19,18,235
Kedon Slovis,QB,ARI,0.0,,,-0.1,-2.1,-2.2,7.6,5.0,0,-11,38,75
Kameron Johnson,WR,TB,0.0,,,0.0,-0.1,-2.8,1.9,10.8,0,-30,21,236
British Brooks,RB,HOU,0.0,,,0.0,-2.8,-2.8,2.7,6.2,0,-17,17,162
Mason Tipton,WR,NO,0.0,,,0.0,0.0,-2.8,4.8,7.6,0,-21,36,237
Cam Grandy,TE,CIN,0.0,,,0.0,0.0,-0.3,3.7,5.1,0,-2,19,142
David Martin-Robinson,TE,TEN,0.0,,,0.0,0.0,-0.3,2.9,7.0,0,-2,21,143
Bryce Oliver,WR,TEN,0.0,,,0.0,0.0,-2.8,3.6,5.7,0,-16,21,238
Colson Yankoff,TE,WAS,0.0,,,0.0,-0.3,-0.3,4.1,7.1,0,-2,29,144
Tahj Washington,WR,MIA,0.0,7.0,241.0,0.0,0.0,-2.8,6.0,7.5,0,-21,45,239
Nick Kallerup,TE,SEA,0.0,,,0.0,-0.3,-0.3,3.2,6.3,0,-2,21,145
LaJohntay Wester,WR,BAL,0.0,6.0,203.0,0.0,-0.2,-2.8,4.7,10.7,0,-30,50,240
Kalel Mullings,RB,TEN,0.0,6.0,188.0,0.0,-0.2,-2.8,6.7,6.5,0,-18,44,163
Jimmy Horn Jr.,WR,CAR,0.0,6.0,208.0,0.0,0.0,-2.8,5.7,9.7,0,-27,56,241
Thomas Fidone II,TE,NYG,0.0,7.0,219.0,0.0,-0.1,-0.3,4.1,4.3,0,-1,17,146
Dominic Lovett,WR,DET,0.0,7.0,244.0,0.0,-0.3,-2.8,4.4,5.9,0,-16,26,242
Gage Larvadain,WR,CLE,0.0,,,0.0,0.0,-2.8,4.8,10.4,0,-29,50,243
Coleman Owen,WR,IND,0.0,,,0.0,-1.4,-2.8,5.6,6.2,0,-17,34,244
Keleki Latu,TE,BUF,0.0,,,0.0,0.0,-0.3,4.5,5.1,0,-2,23,147
Dalen Cambre,WR,NYG,0.0,,,0.0,-2.8,-2.8,4.1,5.5,0,-15,23,245
Beaux Collins,WR,NYG,0.0,,,0.1,0.0,-2.8,5.4,6.6,0,-18,35,246
Carter Runyon,TE,LV,0.0,,,0.0,0.0,-0.3,4.7,5.6,0,-2,26,148
Ben Yurosek,TE,MIN,0.0,,,0.0,0.0,-0.3,4.3,5.9,0,-2,26,149
Ke'Shawn Williams,WR,CIN,0.0,,,0.0,0.0,-2.8,5.0,8.2,0,-23,41,247
Efton Chism III,WR,NE,0.0,,,0.0,0.0,-2.8,5.4,6.5,0,-18,35,248
Arian Smith,WR,NYJ,0.0,4.0,110.0,0.0,0.7,-2.8,6.6,10.5,0,-29,69,249
Dalevon Campbell,WR,LAC,0.0,,,0.0,-0.0,-2.8,5.7,3.6,0,-10,21,250
Luke Altmyer,QB,DET,1.0,,,-0.1,-0.5,-2.2,8.6,3.7,0,-8,32,76
Deion Burks,WR,IND,1.0,7.0,254.0,0.0,-1.5,-2.8,6.2,8.0,0,-22,50,252
Jeff Caldwell,WR,KC,1.0,,,0.1,0.0,-2.8,8.5,5.3,0,-15,45,253
Josh Cameron,WR,JAX,1.0,6.0,191.0,0.0,0.0,-2.8,8.5,5.7,0,-16,49,254
Joe Fagnano,QB,BAL,1.0,,,-0.2,-2.0,-2.2,6.0,1.7,0,-4,10,77
Chris Hilton,WR,WAS,1.0,,,0.0,0.0,-2.8,7.4,5.1,0,-14,38,255
Garrett Nussmeier,QB,KC,1.0,7.0,249.0,-0.1,-1.9,-2.2,8.3,4.1,0,-9,34,78
Dae'Quan Wright,TE,PHI,1.0,,,0.0,-0.0,-0.3,4.9,3.3,0,-1,16,151
Josh Johnson,QB,CIN,0.0,5.0,160.0,-2.1,-0.5,-2.2,7.7,0.7,-1,-2,5,80
Robert Tonyan,TE,PIT,0.0,,,-0.4,-0.2,-0.3,4.0,3.9,-1,-1,16,153
Kyle Allen,QB,BUF,0.0,,,-0.8,-2.2,-2.2,6.6,1.0,-1,-2,7,81
Durham Smythe,TE,BAL,0.0,4.0,123.0,-0.3,-0.2,-0.3,1.3,3.8,-1,-1,5,154
Jarrett Stidham,QB,DEN,0.0,4.0,133.0,-0.3,-1.5,-2.2,2.5,3.8,-1,-8,9,82
Scott Miller,WR,CHI,0.0,6.0,208.0,-0.1,0.0,-2.8,2.1,5.9,-1,-16,12,258
Adam Prentice,RB,DEN,0.0,,,-0.1,-0.2,-2.8,0.3,10.1,-1,-28,3,166
Riley Leonard,QB,IND,0.0,6.0,189.0,-0.2,-0.4,-2.2,8.1,4.7,-1,-10,38,84
Max Brosmer,QB,MIN,0.0,,,-0.4,-2.2,-2.2,4.8,3.8,-1,-8,18,85
Teddy Bridgewater,QB,DET,0.0,1.0,32.0,-0.8,-0.1,-2.2,10.8,2.9,-2,-6,31,87
Chris Manhertz,TE,NYG,0.0,,,-0.4,-0.3,-0.3,2.0,4.3,-2,-2,9,156
Ashton Dulin,WR,IND,0.0,,,-0.3,-1.5,-2.8,2.2,8.8,-2,-24,19,261
Feleipe Franks,TE,CAR,0.0,,,-0.4,-0.3,-0.3,2.0,5.6,-2,-2,11,158
Britain Covey,WR,PHI,0.0,,,-0.3,-2.8,-2.8,1.8,6.4,-2,-18,11,262
Brayden Willis,TE,SF,0.0,7.0,247.0,-0.4,-0.3,-0.3,2.6,5.3,-2,-2,14,159
Behren Morton,QB,NE,1.0,7.0,234.0,-0.4,-2.0,-2.2,7.4,4.2,-2,-9,31,90
Mason Kinsey,WR,TEN,0.0,,,-0.8,-1.5,-2.8,1.3,5.8,-4,-16,8,264
Tom Kennedy,WR,DET,0.0,,,-0.7,-2.8,-2.8,1.9,6.2,-5,-17,12,265
Mecole Hardman,WR,BUF,0.0,2.0,56.0,-0.9,-2.8,-2.8,4.9,6.4,-6,-18,31,266
Trent Sherfield,WR,BUF,0.0,,,-2.8,-2.8,-2.8,1.8,2.5,-7,-7,5,267
Malik Turner,WR,SF,0.0,,,-2.8,-2.8,-2.8,4.3,4.1,-11,-11,18,268
Patrick Ricard,RB,NYG,0.0,,,-2.8,-2.8,-2.8,0.0,4.5,-13,-13,0,168
Travis Homer,RB,PIT,0.0,6.0,204.0,-2.8,-2.8,-2.8,2.1,4.8,-13,-13,10,169
Robbie Ouzts,RB,SEA,0.0,5.0,175.0,-2.8,-2.8,-2.8,3.2,5.8,-16,-16,19,170
Alec Ingold,RB,LAC,0.0,,,-2.8,-2.8,-2.8,1.3,6.0,-17,-17,8,171
Reggie Gilliam,RB,NE,0.0,,,-2.8,-2.8,-2.8,0.1,6.1,-17,-17,0,172
Andrew Beck,RB,NYJ,0.0,,,-2.8,-2.8,-2.8,1.3,7.1,-20,-20,9,174
Brady Russell,RB,SEA,0.0,,,-2.8,-2.8,-2.8,1.2,7.9,-22,-22,10,175
Anthony Gould,WR,IND,0.0,5.0,142.0,-2.8,-2.8,-2.8,1.6,9.3,-26,-26,15,271
